"Reference","Value","Qty","Supply name","Supply URL","Supply name "
"C86,C88","47uF/6.3V","2","Thegioiic","https://www.thegioiic.com/tu-gom-0805-47uf-6-3v",""
"C92,C93,C94,C95","1000uF/16V","4","Thegioiic","https://www.thegioiic.com/tu-nhom-smd-1000uf-16v-10x10-5mm",""
"D1,D2,D3","LED_0805","3","Thegioiic","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot",""
"D4,D5","MBR0520T1G","2","tme","https://www.tme.vn/Product.aspx?id=1582&CateId=355#page=pro_info",""
"D6,D7,D8,D9,D10,D11,D12,D13","BZT52H-C3V3","8","Thegioiic","https://www.thegioiic.com/bzt52h-c3v3-diode-zener-3-3v-375mw-sod-123f",""
"D14","SS54","1","Thegioiic","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v",""
"D15,D16,D17,D18,D19","~","5","Thegioiic","https://www.thegioiic.com/sm420563n-led-7-doan-0-56inch-do-1-so-am-chung",""
"D20","SMF05C","1","Thegioiic","https://www.thegioiic.com/smf05c-esd-protection-diode-array-sot-363",""
"D21","12V","1","Thegioiic","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot",""
"D22","9V","1","Thegioiic","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot",""
"D23,D24","5V","2","Thegioiic","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot",""
"D25","-9V","1","Thegioiic","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot",""
